evidence_id,repo,type,url,title,captured_at
E0001,modelcontextprotocol/servers,release,https://github.com/modelcontextprotocol/servers/releases,Releases,2026-03-10
E0002,modelcontextprotocol/typescript-sdk,release,https://github.com/modelcontextprotocol/typescript-sdk/releases,Releases,2026-03-10
E0003,BerriAI/litellm,release,https://github.com/BerriAI/litellm/releases,Releases,2026-03-10
E0004,langfuse/langfuse,release,https://github.com/langfuse/langfuse/releases,Releases,2026-03-10
E0005,langchain-ai/langgraph,release,https://github.com/langchain-ai/langgraph/releases,Releases,2026-03-10
E0006,qdrant/qdrant,release,https://github.com/qdrant/qdrant/releases,Releases,2026-03-10
E0007,openai/openai-agents-python,release,https://github.com/openai/openai-agents-python/releases,Releases,2026-03-10
E0008,langchain-ai/langchain,release,https://github.com/langchain-ai/langchain/releases,Releases,2026-03-10
E0009,microsoft/autogen,release,https://github.com/microsoft/autogen/releases,Releases,2026-03-10
E0010,crewaiinc/crewai,release,https://github.com/crewAIInc/crewAI/releases,Releases,2026-03-10
E0011,openai/evals,release,https://github.com/openai/evals/releases,Releases,2026-03-10
E0012,huggingface/lighteval,release,https://github.com/huggingface/lighteval/releases,Releases,2026-03-10
E0013,truera/trulens,release,https://github.com/truera/trulens/releases,Releases,2026-03-10
E0014,run-llama/llama_index,release,https://github.com/run-llama/llama_index/releases,Releases,2026-03-10
E0015,weaviate/weaviate,release,https://github.com/weaviate/weaviate/releases,Releases,2026-03-10
E0016,chroma-core/chroma,release,https://github.com/chroma-core/chroma/releases,Releases,2026-03-10
E0017,guardrails-ai/guardrails,release,https://github.com/guardrails-ai/guardrails/releases,Releases,2026-03-10
E0018,temporalio/sdk-python,release,https://github.com/temporalio/sdk-python/releases,Releases,2026-03-10
E0019,wong2/awesome-mcp-servers,doc,https://github.com/wong2/awesome-mcp-servers,Repository,2026-03-10
E0020,vllm-project/vllm,release,https://github.com/vllm-project/vllm/releases,Releases,2026-03-10
