evidence_id,claim_id,evidence_type,repo,url,title,updated_at,why_relevant
E001,C2-A01,repo,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol,Specification and documentation for the Model Context Protocol,2026-03-09T08:46:17Z,MCP/gateway reliability component evidence
E002,C2-A02,issue,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/1655,SEP-1655: Client-Side State Management,2026-03-09T09:19:35Z,Failure and boundary-condition signal
E003,C2-A03,issue,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/1788,SEP-1788: Clarify _meta Property Reserved Keys,2026-03-09T09:19:31Z,Failure and boundary-condition signal
E004,C2-A04,issue,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/1440,SEP-1440: Enhanced Completion Values with Rich Metadata Support,2026-03-09T09:19:29Z,Failure and boundary-condition signal
E005,C2-A05,pr,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/1336,SEP-1336: User Agent Guidance for Client Implementations,2026-03-09T09:19:33Z,Code-level mitigation/change signal
E006,C2-A06,pr,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/1404,SEP-1309: Add spec and SDK versioning guidelines,2026-03-09T09:19:22Z,Code-level mitigation/change signal
E007,C2-A07,release,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/releases/tag/2025-11-25,2025-11-25,2025-11-25T21:17:42Z,Upgrade/change-frequency risk signal
E008,C2-A08,release,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol/releases/tag/2025-11-25-RC,2025-11-25-RC,2025-11-15T06:06:55Z,Upgrade/change-frequency risk signal
E009,C2-A09,repo,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,2026-03-09T09:22:39Z,MCP/gateway reliability component evidence
E010,C2-A10,issue,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers/issues/1401,"Using SOCKS proxy, but the 'socksio' package is not installed.",2026-03-09T09:02:00Z,Failure and boundary-condition signal
E011,C2-A11,pr,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers/pull/3496,Add iz-tolk-mcp to Third-Party Servers,2026-03-09T00:29:15Z,Code-level mitigation/change signal
E012,C2-A12,pr,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers/pull/3495,Add codewiki-mcp to Third-Party Servers,2026-03-09T00:28:36Z,Code-level mitigation/change signal
E013,C2-A01,release,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers/releases/tag/2026.1.26,Release 2026.1.26,2026-01-27T12:11:26Z,Upgrade/change-frequency risk signal
E014,C2-A02,release,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers/releases/tag/2026.1.14,Release 2026.1.14,2026-01-14T16:35:35Z,Upgrade/change-frequency risk signal
E015,C2-A03,repo,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,The official TypeScript SDK for Model Context Protocol servers and clients,2026-03-09T08:58:47Z,MCP/gateway reliability component evidence
E016,C2-A04,issue,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/issues/1646,SDK overwrites custom Accept headers unconditionally,2026-03-08T17:22:23Z,Failure and boundary-condition signal
E017,C2-A05,issue,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/issues/1000,Bug Report-2: Missing Periodic Ping Implementation,2026-03-08T14:12:02Z,Failure and boundary-condition signal
E018,C2-A06,issue,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/issues/1643,registerTool() silently drops inputSchema for z.discriminatedUnion() — normalizeObjectSchema only passes z.object(),2026-03-08T07:04:03Z,Failure and boundary-condition signal
E019,C2-A07,pr,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/pull/1645,feat(client): add periodic ping support for connection health monitoring,2026-03-09T02:50:50Z,Code-level mitigation/change signal
E020,C2-A08,pr,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/pull/1644,fix: handle EPIPE errors in StdioServerTransport gracefully,2026-03-08T06:54:53Z,Code-level mitigation/change signal
E021,C2-A09,release,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/releases/tag/v1.27.1,v1.27.1,2026-02-24T21:55:10Z,Upgrade/change-frequency risk signal
E022,C2-A10,release,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk/releases/tag/v1.27.0,v1.27.0,2026-02-16T16:39:59Z,Upgrade/change-frequency risk signal
E023,C2-A11,repo,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse,Model Context Protocol (MCP) Server for Langfuse Prompt Management. This server allows you to access and manage your Langfuse prompts through the Model Context Protocol.,2026-03-05T14:51:29Z,MCP/gateway reliability component evidence
E024,C2-A12,issue,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/issues/17,remote server,2026-02-13T06:03:05Z,Failure and boundary-condition signal
E025,C2-A01,issue,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/issues/16,Errors,2026-02-02T21:54:52Z,Failure and boundary-condition signal
E026,C2-A02,issue,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/issues/14,"feat: Add traces, scores, datasets, and sessions tools",2025-12-26T18:31:23Z,Failure and boundary-condition signal
E027,C2-A03,pr,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/pull/15,"feat: Add observability tools (traces, scores, datasets, sessions)",2025-12-27T16:33:50Z,Code-level mitigation/change signal
E028,C2-A04,pr,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/pull/11,Add tool for update prompt,2025-09-25T09:36:25Z,Code-level mitigation/change signal
E029,C2-A05,release,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/releases/tag/v0.0.2-rc.0,v0.0.2-rc.0,2025-02-16T14:03:25Z,Upgrade/change-frequency risk signal
E030,C2-A06,release,langfuse/mcp-server-langfuse,https://github.com/langfuse/mcp-server-langfuse/releases/tag/v0.0.1,v0.0.1,2025-02-15T21:24:41Z,Upgrade/change-frequency risk signal
E031,C2-A07,repo,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",2026-03-09T09:43:55Z,MCP/gateway reliability component evidence
E032,C2-A08,issue,BerriAI/litellm,https://github.com/BerriAI/litellm/issues/14321,[Bug]: token cookie is HttpOnly,2026-03-09T08:59:35Z,Failure and boundary-condition signal
E033,C2-A09,pr,BerriAI/litellm,https://github.com/BerriAI/litellm/pull/23136,fix: use group_by instead of find_many(distinct) in /tag/list to avoid full table scan,2026-03-09T09:44:23Z,Code-level mitigation/change signal
E034,C2-A10,pr,BerriAI/litellm,https://github.com/BerriAI/litellm/pull/23135,feat(model): add qwen3.5 series for openrouter,2026-03-09T09:21:41Z,Code-level mitigation/change signal
E035,C2-A11,release,BerriAI/litellm,https://github.com/BerriAI/litellm/releases/tag/v1.81.14-stable.gpt-5.4-patch6,v1.81.14-stable.gpt-5.4-patch6,2026-03-08T20:01:17Z,Upgrade/change-frequency risk signal
E036,C2-A12,release,BerriAI/litellm,https://github.com/BerriAI/litellm/releases/tag/v1.82.dev2,v1.82.dev2,2026-03-07T22:32:56Z,Upgrade/change-frequency risk signal
E037,C2-A01,repo,Helicone/helicone,https://github.com/Helicone/helicone,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",2026-03-09T06:09:20Z,MCP/gateway reliability component evidence
E038,C2-A02,pr,Helicone/helicone,https://github.com/Helicone/helicone/pull/5635,revert: remove FieldSpec property string variant (#5633),2026-03-07T04:22:19Z,Code-level mitigation/change signal
E039,C2-A03,pr,Helicone/helicone,https://github.com/Helicone/helicone/pull/5634,fix,2026-03-07T04:21:04Z,Code-level mitigation/change signal
E040,C2-A04,release,Helicone/helicone,https://github.com/Helicone/helicone/releases/tag/v2025.08.21-1,v2025.08.21-1,2025-08-21T18:47:38Z,Upgrade/change-frequency risk signal
E041,C2-A05,release,Helicone/helicone,https://github.com/Helicone/helicone/releases/tag/v2025.08.21,v2025.08.21,2025-08-21T17:50:18Z,Upgrade/change-frequency risk signal
E042,C2-A06,repo,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",2026-03-09T09:41:55Z,MCP/gateway reliability component evidence
E043,C2-A07,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/10692,Bug: Score deletion intermittently fails — ClickHouse mutation marked done but _row_exists stays 1 (CH 25.6 → Langfuse 3.127.0),2026-03-09T09:31:27Z,Failure and boundary-condition signal
E044,C2-A08,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/11789,bug: Multiple replicas have different webpack bundle hashes causing 404 errors,2026-03-09T09:31:01Z,Failure and boundary-condition signal
E045,C2-A09,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12336,"fix(auth): fall back to ""mail"" attribute in custom SSO profile",2026-03-09T09:36:20Z,Code-level mitigation/change signal
E046,C2-A10,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12461,chore: allow users to filter from trace detail view,2026-03-09T09:30:28Z,Code-level mitigation/change signal
E047,C2-A11,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.156.0,v3.156.0,2026-03-05T17:13:43Z,Upgrade/change-frequency risk signal
E048,C2-A12,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.155.1,v3.155.1,2026-02-23T17:10:05Z,Upgrade/change-frequency risk signal
E049,C2-A01,repo,openlit/openlit,https://github.com/openlit/openlit,"Open source platform for AI Engineering: OpenTelemetry-native LLM Observability, GPU Monitoring, Guardrails, Evaluations, Prompt Management, Vault, Playground. 🚀💻 Integrates with 50+ LLM Providers, VectorDBs, Agent Frameworks and GPUs.",2026-03-09T01:42:27Z,MCP/gateway reliability component evidence
E050,C2-A02,issue,openlit/openlit,https://github.com/openlit/openlit/issues/1042,Collaboration: Governance telemetry signals for OpenLit,2026-03-08T18:18:58Z,Failure and boundary-condition signal
E051,C2-A03,issue,openlit/openlit,https://github.com/openlit/openlit/issues/1003,Integration: Agent-SRE SLI/SLO Export via OpenTelemetry,2026-03-08T05:20:43Z,Failure and boundary-condition signal
E052,C2-A04,pr,openlit/openlit,https://github.com/openlit/openlit/pull/1040,feat: Add Forge as LLM provider,2026-03-09T05:17:29Z,Code-level mitigation/change signal
E053,C2-A05,pr,openlit/openlit,https://github.com/openlit/openlit/pull/981,fix: Add version-aware Qdrant instrumentation for v1.16.0+ compatibility,2026-03-08T19:09:27Z,Code-level mitigation/change signal
E054,C2-A06,release,openlit/openlit,https://github.com/openlit/openlit/releases/tag/openlit-1.16.1,openlit-1.16.1,2026-03-05T22:03:06Z,Upgrade/change-frequency risk signal
E055,C2-A07,release,openlit/openlit,https://github.com/openlit/openlit/releases/tag/ts-1.10.1,ts-1.10.1,2026-03-03T22:37:49Z,Upgrade/change-frequency risk signal
E056,C2-A08,repo,openai/openai-agents-python,https://github.com/openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows",2026-03-09T09:02:51Z,MCP/gateway reliability component evidence
E057,C2-A09,issue,openai/openai-agents-python,https://github.com/openai/openai-agents-python/issues/2258,.to_input_list() provides unparsable data if handoff happens in that run w/ nest_handoff_history: true,2026-03-09T07:51:22Z,Failure and boundary-condition signal
E058,C2-A10,pr,openai/openai-agents-python,https://github.com/openai/openai-agents-python/pull/2642,Release 0.11.1,2026-03-09T06:33:00Z,Code-level mitigation/change signal
E059,C2-A11,pr,openai/openai-agents-python,https://github.com/openai/openai-agents-python/pull/2641,fix: show the GA computer alias in tracing,2026-03-09T06:22:27Z,Code-level mitigation/change signal
E060,C2-A12,release,openai/openai-agents-python,https://github.com/openai/openai-agents-python/releases/tag/v0.11.1,v0.11.1,2026-03-09T06:33:38Z,Upgrade/change-frequency risk signal
E061,C2-A01,release,openai/openai-agents-python,https://github.com/openai/openai-agents-python/releases/tag/v0.11.0,v0.11.0,2026-03-09T04:10:12Z,Upgrade/change-frequency risk signal
E062,C2-A02,repo,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient language agents as graphs.,2026-03-09T09:30:53Z,MCP/gateway reliability component evidence
E063,C2-A03,issue,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/issues/6731,LangGraph [1.0.6] Bug - Agent infinite looping until recursion limit error is hit,2026-03-09T09:02:51Z,Failure and boundary-condition signal
E064,C2-A04,pr,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/pull/7076,chore(deps-dev): bump the all-dependencies group in /libs/langgraph with 3 updates,2026-03-09T06:20:16Z,Code-level mitigation/change signal
E065,C2-A05,pr,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/pull/7075,chore(deps-dev): bump the all-dependencies group in /libs/cli with 2 updates,2026-03-09T06:18:40Z,Code-level mitigation/change signal
E066,C2-A06,release,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/releases/tag/cli%3D%3D0.4.14,langgraph-cli==0.4.14,2026-03-02T21:27:30Z,Upgrade/change-frequency risk signal
E067,C2-A07,release,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph/releases/tag/1.0.10,langgraph==1.0.10,2026-02-27T21:04:53Z,Upgrade/change-frequency risk signal
