evidence_id,claim_id,evidence_type,repo,url,title,updated_at,why_relevant
E001,C-A01,repo,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",2026-03-09T09:29:49Z,Core stack repository for MCP/gateway/agent reliability surface
E002,C-A02,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/10692,Bug: Score deletion intermittently fails — ClickHouse mutation marked done but _row_exists stays 1 (CH 25.6 → Langfuse 3.127.0),2026-03-09T09:31:27Z,Operational failure signal from issue tracker
E003,C-A03,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/11789,bug: Multiple replicas have different webpack bundle hashes causing 404 errors,2026-03-09T09:31:01Z,Operational failure signal from issue tracker
E004,C-A04,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12461,chore: allow users to filter from trace detail view,2026-03-09T09:30:28Z,Code-level mitigation or behavior change indicator
E005,C-A05,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12452,feat(evals): add config blocking,2026-03-09T09:26:07Z,Code-level mitigation or behavior change indicator
E006,C-A06,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.156.0,v3.156.0,2026-03-05T17:13:43Z,Release cadence and upgrade risk signal
E007,C-A07,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.155.1,v3.155.1,2026-02-23T17:10:05Z,Release cadence and upgrade risk signal
E008,C-A08,repo,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",2026-03-09T09:21:03Z,Core stack repository for MCP/gateway/agent reliability surface
E009,C-A09,issue,BerriAI/litellm,https://github.com/BerriAI/litellm/issues/14321,[Bug]: token cookie is HttpOnly,2026-03-09T08:59:35Z,Operational failure signal from issue tracker
E010,C-A10,pr,BerriAI/litellm,https://github.com/BerriAI/litellm/pull/23136,fix: use group_by instead of find_many(distinct) in /tag/list to avoid full table scan,2026-03-09T09:30:05Z,Code-level mitigation or behavior change indicator
E011,C-A11,pr,BerriAI/litellm,https://github.com/BerriAI/litellm/pull/23135,feat(model): add qwen3.5 series for openrouter,2026-03-09T09:21:41Z,Code-level mitigation or behavior change indicator
E012,C-A12,release,BerriAI/litellm,https://github.com/BerriAI/litellm/releases/tag/v1.81.14-stable.gpt-5.4-patch6,v1.81.14-stable.gpt-5.4-patch6,2026-03-08T20:01:17Z,Release cadence and upgrade risk signal
E013,C-A01,release,BerriAI/litellm,https://github.com/BerriAI/litellm/releases/tag/v1.82.dev2,v1.82.dev2,2026-03-07T22:32:56Z,Release cadence and upgrade risk signal
E014,C-A02,repo,Helicone/helicone,https://github.com/Helicone/helicone,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",2026-03-09T06:09:20Z,Core stack repository for MCP/gateway/agent reliability surface
E015,C-A03,pr,Helicone/helicone,https://github.com/Helicone/helicone/pull/5635,revert: remove FieldSpec property string variant (#5633),2026-03-07T04:22:19Z,Code-level mitigation or behavior change indicator
E016,C-A04,pr,Helicone/helicone,https://github.com/Helicone/helicone/pull/5634,fix,2026-03-07T04:21:04Z,Code-level mitigation or behavior change indicator
