claim_id,source_claim_file,claim_text,counterargument,boundary_condition_not_hold,counter_source_url,verdict,recommendation_for_c
C2-B-001,40-insights/master_overview_2026-03-09.md,"LiteLLM + Istio + OpenMeter should be recommended path","Three-plane stack can overfit large orgs and overburden small teams","No dedicated platform/SRE team and low request scale",https://github.com/istio/istio,partial,Mark as scale-conditional architecture not universal default
C2-B-002,40-insights/master_overview_2026-03-09.md,"Do not use single gateway for all controls","In early phase, single gateway with strict guardrails may be sufficient and faster","Single provider, low compliance burden, low QPS",https://github.com/BerriAI/litellm,partial,Allow temporary single-gateway baseline with upgrade trigger
C2-B-003,30-analysis/gateway/w4_gateway_slo_policy.md,"Availability >=99.9 is mandatory P0 baseline","Some internal tools can accept lower SLA if correctness and cost are priority","Internal non-customer-facing workloads",https://sre.google/workbook/implementing-slos/,partial,Define tiered SLA by product criticality
C2-B-004,30-analysis/gateway/w4_gateway_slo_policy.md,"Budget drift <=1% is required baseline","1% may be unrealistic before ledger normalization and token accounting harmonization","Early rollout with mixed provider billing semantics",https://openmeter.io/docs/billing/entitlements/overview,partial,Phase target: 5% -> 2% -> 1%
C2-B-005,30-analysis/gateway/w4_gateway_slo_policy.md,"Retry forbidden for non-idempotent ops is enough safety","Idempotency classification can be wrong; retries can still leak side effects indirectly","Tool wrappers without strict idempotency metadata",https://portkey.ai/features/ai-gateway,partial,Require explicit idempotency tags and policy tests
C2-B-006,30-analysis/gateway/w4_gateway_slo_policy.md,"Canary 10-25-50-100 always suitable","Fixed canary ladder may be too slow for urgent patches or too risky for fragile systems","Hotfix window or high blast-radius endpoints",https://kserve.github.io/website/latest/modelserving/v1beta1/rollout/canary/,partial,Use risk-based canary schedule classes
C2-B-007,30-analysis/gateway/w4_gateway_deep_dive.md,"Budget governance must be dual-layer","Dual-layer can create conflicting enforcement and operator confusion without ownership split","No clear source-of-truth between gateway and ledger",https://openmeter.io/docs/billing/entitlements/entitlement#metered-entitlements,partial,Define authoritative system per decision type
C2-B-008,30-analysis/gateway/w4_gateway_deep_dive.md,"Upper gateway route + lower mesh resilience is required","Mesh layer may be unnecessary in simple monolith or single-cluster setups","No east-west traffic complexity or service mesh capability",https://istio.io/latest/docs/tasks/traffic-management/circuit-breaking/,partial,Allow envoy-only or gateway-only minimal profile
C2-B-009,30-analysis/gateway/w4_gateway_deep_dive.md,"Without trace_id + cost attribution + SLO alerting system is not production controllable","Certain batch/offline pipelines can be production-acceptable with job-level telemetry","Offline asynchronous generation pipelines",https://github.com/open-telemetry/opentelemetry-collector,partial,Split observability requirements by online vs batch
C2-B-010,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"Protocol moved from popularity to conformance+tier","Community adoption still strongly influences practical compatibility and issue response speed","Conformance claims without active host ecosystem validation",https://modelcontextprotocol.io/community/sdk-tiers.md,partial,Use blended score: conformance + adoption + incident history
C2-B-011,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"tools/list + list_changed is mandatory baseline","Some hosts/servers may lag in notifications support while still usable","Legacy clients lacking full capability notifications",https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md,partial,Treat notifications as preferred not absolute blocker in transition period
C2-B-012,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"Registry + runtime dual-check should gate production enablement","Over-strict gating may stall urgent integrations and reduce experiment velocity","Time-critical onboarding with trusted internal servers",https://modelcontextprotocol.io/registry/about.md,partial,Provide emergency fast-track with post-audit SLA
C2-B-013,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"Transport baseline should be streamable HTTP","Local stdio can be more reliable and simpler for desktop/locality-sensitive tools","Developer workstation or air-gapped local scenarios",https://modelcontextprotocol.io/specification/2025-11-25/basic/transports.md,partial,Choose transport by trust boundary and deployment model
C2-B-014,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"Tool naming collision policy should be strict namespace format","Overly rigid naming may hurt third-party compatibility and migration","Integrations with legacy tool naming contracts",https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md,partial,Add alias mapping layer instead of hard reject
C2-B-015,30-analysis/mcp/w2_mcp_ecosystem_analysis.md,"Schema violations should always hard-fail","Hard-fail everywhere can break resilience for non-critical optional tools","Best-effort auxiliary tools where graceful degradation preferred",https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md,partial,Use fail mode by tool criticality class
C2-B-016,40-insights/master_overview_2026-03-09.md,"No strategy gate for external MCP server should be avoided","For sandboxed read-only servers, lighter gate can be acceptable","Read-only low-risk servers with no credentials and strict sandbox",https://github.com/modelcontextprotocol/servers,partial,Adopt risk-tiered gate not one-size-fits-all
C2-B-017,40-insights/master_overview_2026-03-09.md,"OpenMeter is weak-related but should be kept","In low-scale contexts, spreadsheet-level monthly budget governance may be sufficient initially","Small team with fixed budget and low model diversity",https://github.com/openmeterio/openmeter,partial,Mark OpenMeter as trigger-based adoption
C2-B-018,40-insights/master_overview_2026-03-09.md,"License gate unresolved means cannot go production","Emergency cases may require temporary exception with compensating controls","Critical outage requiring immediate mitigation dependency",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,partial,Allow time-bound exception with signed risk acceptance
