claim_id,source_claim_file,claim_text,counterargument,boundary_condition_not_hold,counter_source_url,verdict,recommendation_for_c
C3-B-001,analysis/eval/w5_eval_observability_analysis.md,"53-project scan is deep enough to drive stable eval decisions","Breadth does not guarantee representativeness; key enterprise/private stacks may be under-covered","Organization relies on proprietary observability stack or strict on-prem tools",https://api.github.com/repos/mlflow/mlflow,partial,Add coverage disclaimer and missing-stack inventory
C3-B-002,analysis/eval/w5_eval_observability_analysis.md,"Offline-to-online closed loop is generally achievable","Loop fails without dedicated dataset ownership and labeling discipline","No assigned eval owner and no incident-to-dataset process",https://api.github.com/repos/openai/evals,partial,Require owner + SLA before calling it closed loop
C3-B-003,analysis/eval/w5_eval_observability_analysis.md,"PR gate thresholds are broadly reusable","Fixed thresholds can misfit diverse task classes and languages","Multilingual or long-context workflows with different baseline variance",https://api.github.com/repos/huggingface/lighteval,partial,Adopt per-task threshold profiles
C3-B-004,analysis/eval/w5_eval_observability_analysis.md,"Nightly shadow_prod regression is sufficient drift defense","Nightly cadence can miss fast regressions after urgent changes","High-frequency deployment teams with multiple daily releases",https://api.github.com/repos/comet-ml/opik,partial,Add post-deploy immediate smoke eval tier
C3-B-005,analysis/eval/w5_eval_observability_analysis.md,"Prompt injection pass-rate >=0.95 is a robust default","Single pass-rate metric can be gamed and hide attack class gaps","Attack suite lacks indirect injection and tool-chain pivot cases",https://api.github.com/repos/Azure/PyRIT,partial,Add attack-family coverage metric
C3-B-006,analysis/eval/w5_eval_observability_analysis.md,"组合A (langfuse+deepeval+ragas+promptfoo+guardrails+litellm) is default open-source route","Combination may create overlapping telemetry and evaluator semantics causing noisy decisions","No normalized event schema across tools",https://api.github.com/repos/open-telemetry/opentelemetry-specification,partial,Define canonical schema before multi-tool stack
C3-B-007,analysis/eval/w5_eval_rollback_runbook.md,"10-minute rollback target is realistic","Rollback SLO can be unrealistic when dependency graph spans model, gateway, and policy layers","Cross-team approvals and manual release freezes required",https://sre.google/workbook/incident-response/,partial,Set tiered rollback target by incident class
C3-B-008,analysis/eval/w5_eval_rollback_runbook.md,"Error-rate and success-rate triggers are enough for rollback","Quality degradation can occur without immediate error spike","Hallucination/semantic drift in apparently successful responses",https://api.github.com/repos/vibrantlabsai/ragas,partial,Add semantic quality trigger to rollback criteria
C3-B-009,analysis/security/w6_ai_security_governance_analysis.md,"Threat chain model is practical and complete for OwlClaw-like infra","Chain omits model supply and data labeling poisoning specifics in detail","Organization trains/fine-tunes or ingests external untrusted datasets",https://atlas.mitre.org,partial,Extend chain with model/data supply attack nodes
C3-B-010,analysis/security/w6_ai_security_governance_analysis.md,"Policy engine + auth graph + sandbox should be treated as one stack","Unified stack can be overkill for read-only low-risk tool environments","Read-only tools with no write/exec capability",https://api.github.com/repos/open-policy-agent/opa,partial,Support minimal-security profile for low-risk workloads
C3-B-011,analysis/security/w6_ai_security_governance_analysis.md,"Output safety needs structure+privacy+exec risk gates always","Some outputs are non-executable and low-risk; full chain may hurt throughput","Pure QA chat endpoints with no downstream action",https://api.github.com/repos/guardrails-ai/guardrails,partial,Apply risk-tiered output gating classes
C3-B-012,analysis/security/w6_ai_security_governance_analysis.md,"Unauthorized tool call success rate must be zero in staging","Zero target can hide detection blind spots if attack suite is narrow","Staging suite lacks emergent tool composition attacks",https://api.github.com/repos/NVIDIA/garak,partial,Pair KPI with adversarial coverage score
C3-B-013,analysis/security/w6_ai_security_governance_analysis.md,"Unsigned artifact deployment = 0 is mandatory","Emergency hotfix channels may require temporary bypass if governance supports exception","Critical outage with signed pipeline outage",https://api.github.com/repos/sigstore/cosign,partial,Introduce time-bound exception policy and backfill audit
C3-B-014,analysis/security/w6_ai_security_governance_analysis.md,"Archived repos should only be baseline corpora, never dependencies","Some archived references may still be valid if forked and internally maintained","Internal maintained fork with pinned security patches",https://api.github.com/repos/protectai/rebuff,partial,Allow internal-fork exception with security attestation
C3-B-015,analysis/security/w6_ai_security_control_module_mapping.md,"Week-by-week 90-day rollout sequence is generally valid","Sequencing assumes stable staffing and no major incident interruptions","Resource contention or parallel compliance deadlines",https://api.github.com/repos/openfga/openfga,partial,Publish critical-path and fallback sequence
C3-B-016,analysis/eval/w5_eval_observability_analysis.md,"Top30 scoring dimensions are enough for adoption decisions","Current score omits migration debt and organizational readiness","Team lacks in-house expertise for chosen tools",https://api.github.com/repos/zenml-io/zenml,fails,Add org-readiness and migration-cost dimensions before ranking
C3-B-017,analysis/security/w6_ai_security_governance_analysis.md,"NIST/CISA 403 can be tolerated with alternate sources","Lack of primary-source verification may weaken audit defensibility","Regulated audits requiring direct framework traceability",https://www.nist.gov/itl/ai-risk-management-framework,partial,Track formal evidence debt with due date
C3-B-018,analysis/eval/w5_eval_observability_analysis.md,"One primary control-plane (Langfuse or Opik) should be selected","Single-plane strategy may create vendor concentration and migration risk","Strict anti-lock-in policy or sovereign deployment constraints",https://api.github.com/repos/comet-ml/opik,partial,Adopt portable telemetry schema and dual-vendor exit plan
