claim_id,source_claim_file,claim_text,counterargument,boundary_condition_not_hold,counter_source_url,verdict,recommendation_for_c
C5-B-001,analysis/agent/w1_agent_orchestration_deep_analysis.md,"LangGraph + OpenAI Agents dual-run is the right P0 baseline","Dual-run doubles integration and observability work; may delay business validation","Small team with hard delivery deadline and limited platform bandwidth",https://api.github.com/repos/openai/openai-agents-python,partial,Allow single-core pilot with explicit switch criteria
C5-B-002,analysis/agent/w1_agent_orchestration_deep_analysis.md,"MCP must be mandatory tool boundary before adoption","Early strict MCP-only policy can slow down validated internal tools already stable","Closed internal tool ecosystem with low interoperability need",https://raw.githubusercontent.com/modelcontextprotocol/python-sdk/main/README.md,partial,Use phased MCP migration with exception inventory
C5-B-003,analysis/agent/w1_agent_orchestration_deep_analysis.md,"Langfuse/AgentOps should be mandatory gate for all PoCs","Mandatory dual observability can overload early PoC and hide core product risk","Exploration phase with low traffic and short-lived experiments",https://api.github.com/repos/AgentOps-AI/agentops,partial,Set observability tiers by PoC maturity
C5-B-004,analysis/agent/w1_top6_framework_adr_cards.md,"LangGraph drop criteria (<95% resume) is sufficient","Single threshold ignores task criticality and failure cost asymmetry","Some flows require >99% recovery, others tolerate lower",https://raw.githubusercontent.com/langchain-ai/langgraph/main/README.md,partial,Define recovery thresholds by workflow criticality
C5-B-005,analysis/agent/w1_top6_framework_adr_cards.md,"OpenAI Agents handoff failure >3% should trigger downgrade","Handoff rate alone may mislead if failures are low-impact and auto-recovered","Non-critical assistant workflows with graceful fallback",https://raw.githubusercontent.com/openai/openai-agents-python/main/README.md,partial,Use severity-weighted handoff failure metric
C5-B-006,analysis/agent/w1_top6_framework_adr_cards.md,"CrewAI should remain P1 scenario backup only","In flow-heavy ops teams, CrewAI may outperform graph-centric stacks on speed-to-value","Business-process automation with clear role decomposition",https://raw.githubusercontent.com/crewAIInc/crewAI/main/README.md,partial,Allow domain-specific promotion to P0 candidate
C5-B-007,analysis/rag/w3_rag_deep_dive.md,"Qdrant is middle-scale best balance by default","Default can be wrong where existing OpenSearch/PG stack drastically lowers migration cost","Org already operating mature search/database platform",https://api.github.com/repos/opensearch-project/OpenSearch,partial,Introduce incumbent-infra bias correction in scoring
C5-B-008,analysis/rag/w3_rag_data_adr.md,"LlamaIndex + Qdrant + reranker is optimal v1 default","Three-component stack may overshoot needs for narrowly scoped FAQ workloads","Small static corpus with low update frequency",https://api.github.com/repos/chroma-core/chroma,partial,Permit lightweight single-store baseline for low-complexity products
C5-B-009,analysis/rag/w3_rag_deep_dive.md,"Two-stage retrieval must be enforced in all cases","Reranking always-on can add latency/cost without meaningful gain on easy queries","High-confidence short queries with low ambiguity",https://api.github.com/repos/vibrantlabsai/ragas,partial,Adopt conditional reranking policy based on uncertainty score
C5-B-010,analysis/rag/w3_rag_deep_dive.md,"RAGAS + BEIR offline gate should be hard requirement","Benchmark-oriented gates can misalign with domain-specific business success metrics","Vertical domains with proprietary ontology and sparse public benchmarks",https://api.github.com/repos/beir-cellar/beir,partial,Add business KPI-aligned evalset as co-primary gate
C5-B-011,analysis/rag/w3_rag_deep_dive.md,"Upgrade trigger at 100M chunks and P95 degradation is sufficient","Volume threshold alone misses hotspot skew and tenancy imbalance issues","Few noisy tenants causing contention before total scale threshold",https://api.github.com/repos/milvus-io/milvus,partial,Add per-tenant hotspot and queue-depth triggers
C5-B-012,analysis/rag/w3_rag_data_adr.md,"OpenSearch/Milvus reserved extension ensures smooth scaling","Migration can still be disruptive due to schema/index and operational model differences","No dual-write or replay pipeline in place",https://api.github.com/repos/milvus-io/milvus,partial,Require migration rehearsal and dual-read phase before promotion
C5-B-013,analysis/rag/w3_rag_deep_dive.md,"Index rollback (N-1 snapshot + canary) is enough resilience","Rollback may restore index health but not fix stale embedding/model drift mismatch","Embedding model changed without backward compatibility",https://api.github.com/repos/run-llama/llama_index,partial,Tie rollback to embedding/version compatibility matrix
C5-B-014,analysis/agent/w1_agent_orchestration_deep_analysis.md,"License clarity is the top fake-production risk","Operational debt (missing owners/runbooks) can dominate license risk in early incidents","Teams with permissive licenses but weak incident process",https://api.github.com/repos/langchain-ai/langgraph,partial,Rebalance risk model: legal + operational + observability readiness
C5-B-015,analysis/rag/w3_rag_deep_dive.md,"Kafka/Spark should be P2 mandatory for large scale","Not all large-scale RAG requires heavy streaming stack; managed services may suffice","Cloud-native managed ingestion with event guarantees",https://api.github.com/repos/apache/kafka,partial,Specify functional requirements before prescribing stack
C5-B-016,analysis/agent/w1_top6_framework_adr_cards.md,"Top6 ADR exit criteria are execution-ready","Criteria are framework-local and may miss end-to-end business KPI impact","Good framework metrics but poor user outcome",https://api.github.com/repos/langchain-ai/langchain,fails,Add business-outcome gates to all ADR cards
C5-B-017,analysis/rag/w3_rag_data_adr.md,"NDCG uplift >=10% is robust quality acceptance","Single uplift target can be gamed by query mix changes and judge drift","Evaluation set not stratified by intent and difficulty",https://api.github.com/repos/vibrantlabsai/ragas,partial,Add stratified reporting and guard against mix-shift
C5-B-018,analysis/agent/w1_agent_orchestration_deep_analysis.md,"P0/P1/P2 framework split should stay stable through cycle","Framework volatility can quickly invalidate static tiering","Rapid API/release churn in early-stage frameworks",https://api.github.com/repos/mastra-ai/mastra,partial,Enforce time-boxed re-tiering every cycle
